Source,Target,Type,Id,Label,timeset,Weight,operation_id,op_role,tie_year,tie_extinguish,kinship,1985_1989,1990_1994
177,577,Directed,3200,,,2,43,,2004,2004,0,,
177,800,Directed,3201,,,3,44,,2004,2006,0,,
177,1504,Directed,3202,,,2,43,,2003,2004,0,,
177,1507,Directed,3203,,,2,43,,2004,2004,0,,
177,1509,Directed,3204,,,2,43,,2004,2005,0,,
177,1530,Directed,3205,,,2,43,,2004,2004,0,,
177,1541,Directed,3206,,,2,43,,2004,2004,5,,
177,1553,Directed,3207,,,2,43,,2003,2004,0,,
177,1555,Directed,3208,,,2,43,,2004,2004,0,,
177,1556,Directed,3209,,,2,43,,2004,2004,0,,
177,1561,Directed,3210,,,2,43,,2004,2004,0,,
177,1562,Directed,3211,,,2,43,,2004,2005,0,,
177,1563,Directed,3212,,,2,43,,2003,2004,0,,
177,1570,Directed,3213,,,2,43,,2004,2004,0,,
177,1574,Directed,3214,,,2,43,,2003,2007,0,,
177,1579,Directed,3215,,,4,44,,1995-1999,2005,0,,
177,1580,Directed,3216,,,3,44,,2004,2005,0,,
177,1582,Directed,3217,,,2,43,,2004,2005,0,,
177,1590,Directed,3218,,,2,43,,2004,2004,0,,
177,1595,Directed,3219,,,2,43,,2004,2004,0,,
577,177,Directed,3220,,,2,43,,2004,2004,0,,
577,598,Directed,3221,,,2,43,,2004,2004,0,,
577,800,Directed,3222,,,2,43,,2004,2004,0,,
577,802,Directed,3223,,,2,43,,2004,2004,0,,
577,1534,Directed,3224,,,2,43,,2004,2004,0,,
577,1556,Directed,3225,,,2,43,,2004,2004,0,,
577,1558,Directed,3226,,,2,43,,1980s,2004,0,2,2
577,1561,Directed,3227,,,2,43,,2004,2004,0,,
577,1579,Directed,3228,,,2,43,,2004,2004,0,,
577,1590,Directed,3229,,,2,43,,2003,2004,0,,
577,1595,Directed,3230,,,2,43,,2004,2004,0,,
598,577,Directed,3231,,,2,43,,2004,2004,0,,
598,800,Directed,3232,,,2,43,,2004,2006,0,,
598,802,Directed,3233,,,2,43,,2004,2006,0,,
598,1556,Directed,3234,,,2,43,,2004,2004,0,,
598,1558,Directed,3235,,,2,43,,2004,2004,0,,
598,1561,Directed,3236,,,2,43,,2004,2004,0,,
598,1590,Directed,3237,,,2,43,,2004,2004,0,,
598,1595,Directed,3238,,,2,43,,Birth,2004,3,3,3
800,177,Directed,3239,,,3,44,,2004,2006,0,,
800,577,Directed,3240,,,2,43,,2004,2004,0,,
800,598,Directed,3241,,,2,43,,2004,2006,0,,
800,1558,Directed,3242,,,2,43,,2004,2004,0,,
800,1580,Directed,3243,,,3,44,,1993,2006,0,,2
800,1590,Directed,3244,,,2,43,,2004,2004,0,,
801,1506,Directed,3245,,,2,43,,2004,2005,0,,
801,1562,Directed,3246,,,2,43,,2000,2005,0,,
801,1582,Directed,3247,,,2,43,,1999,2005,0,,
