Source,Target,Type,Id,Label,timeset,Weight,operation_id,op_role,tie_year,tie_extinguish,kinship,1985_1989,1990_1994
151,153,Directed,3424,,,4,36,,1985,2002,0,1,1
151,155,Directed,3425,,,4,36,,1982,2002,0,1,2
151,160,Directed,3426,,,3,16,,1995,2002,0,,
151,162,Directed,3427,,,4,36,,1995,2002,0,,
151,163,Directed,3428,,,4,36,,1995,2002,0,,
151,175,Directed,3429,,,2,24,,1970s,,0,1,1
151,180,Directed,3431,,,3,16,,1993,2002,0,,1
151,183,Directed,3432,,,4,36,,1995,,0,,
151,189,Directed,3433,,,4,36,,2000,,0,,
151,650,Directed,3434,,,4,36,,1998,2002,0,,
153,151,Directed,3436,,,4,36,,1985,2002,0,1,1
153,155,Directed,3437,,,4,36,,1987,2002,0,1,1
153,160,Directed,3438,,,3,16,,1995,2002,0,,
153,162,Directed,3439,,,4,36,,1995,2002,0,,
153,163,Directed,3440,,,4,36,,1995,2003,0,,
153,175,Directed,3441,,,2,24,,1987,2003,0,1,1
153,176,Directed,3442,,,3,16,,2000,2003,0,,
153,180,Directed,3444,,,3,16,,1995,2002,0,,
153,183,Directed,3445,,,4,36,,1995,2003,0,,
153,189,Directed,3446,,,4,36,,2000,2003,0,,
153,650,Directed,3447,,,4,36,,1994,2003,0,,1
153,1549,Directed,3448,,,3,36,,2000,2003,0,,
153,1564,Directed,3449,,,4,36,,2000,2003,0,,
153,1576,Directed,3450,,,3,16,,2000,2003,0,,
155,151,Directed,3452,,,4,36,,1982,2002,0,1,2
155,153,Directed,3453,,,4,36,,1987,2002,0,1,1
155,160,Directed,3454,,,3,16,,1995,2002,0,,
155,162,Directed,3455,,,4,36,,Birth,2002,3,3,3
155,163,Directed,3456,,,4,36,,Birth,2002,3,3,3
155,175,Directed,3457,,,2,24,,1979,2002,0,1,1
155,176,Directed,3458,,,2,24,,2002,2002,0,,
155,180,Directed,3460,,,3,16,,1993,2002,0,,1
155,183,Directed,3461,,,4,36,,1995,2002,0,,
155,189,Directed,3462,,,4,36,,1999,2002,0,,
155,588,Directed,3464,,,2,24,,2002,2002,0,,
155,650,Directed,3465,,,4,36,,2000,2001,0,,
155,1532,Directed,3466,,,2,24,,2002,2002,0,,
155,1564,Directed,3467,,,2,24,,1980s,2002,0,1,1
155,1576,Directed,3468,,,2,24,,2002,2002,0,,
155,1597,Directed,3470,,,2,24,,2002,2002,0,,
160,151,Directed,3471,,,3,16,,1995,2002,0,,
160,153,Directed,3472,,,3,16,,1995,2002,0,,
160,155,Directed,3473,,,3,16,,1995,2002,0,,
