Operation_ID,ID,Op_role,Tie_ID,Tie_Year,Tie_Extinguish,1985_1989,1990_1994
911,1017,,57,1997,2001, , 
911,57,,1017,1997,2001, , 
911,1005,,64,1998,2002, , 
911,64,,1005,1998,2002, , 
911,65,,66,1998,2001, , 
911,66,,65,1998,2001, , 
911,60,,65,1998,2000, , 
911,65,,60,1998,2000, , 
911,61,,65,1997,2000, , 
911,65,,61,1997,2000, , 
911,58,,65,1998,2000, , 
911,65,,58,1998,2000, , 
911,1005,,66,1998,2001, , 
911,66,,1005,1998,2001, , 
911,60,,66,1998,2001, , 
911,66,,60,1998,2001, , 
911,61,,66,1998,2001, , 
911,66,,61,1998,2001, , 
911,1016,,66,1998,2000, , 
911,66,,1016,1998,2000, , 
911,1017,,66,1998,2000, , 
911,66,,1017,1998,2000, , 
911,58,,66,1999,2001, , 
911,66,,58,1999,2001, , 
911,60,,1005,1998,2001, , 
911,1005,,60,1998,2001, , 
911,1005,,1017,1999,1999,,
911,1017,,1005,1999,1999,,
911,58,,1005,1998,2001, , 
911,1005,,58,1998,2001, , 
911,1016,,60,1997,2001, , 
911,60,,1016,1997,2001, , 
911,58,,60,1995,2001, , 
911,60,,58,1995,2001, , 
911,61,,1016,1998,1999,,
911,1016,,61,1998,1999,,
911,1017,,61,1998,2002, , 
911,61,,1017,1998,2002, , 
911,58,,61,1995,2002, , 
911,61,,58,1995,2002, , 
911,1017,,1016,1997,, , 
911,1016,,1017,1997,, , 
911,58,,1016,1998,2001, , 
911,1016,,58,1998,2001, , 
911,58,,1017,1997,2001, , 
911,1017,,58,1997,2001, , 
911,64,,1039,1999,1999,,
911,1039,,64,1999,1999,,
911,61,,1039,2001,2001,,
911,1039,,61,2001,2001,,
911,1005,,1039,1999,2001,,
911,1039,,1005,1999,2001,,
911,64,,650,1999,2002, , 
911,650,,64,1999,2002, , 
911,63,,650,1999,1999, , 
911,650,,63,1999,1999, , 
911,66,,650,1999,1999, , 
911,650,,66,1999,1999, , 
911,65,,650,1999,2000, , 
911,650,,65,1999,2000, , 
911,65,,63,1997,2001, , 
911,63,,65,1997,2001, , 
