Operation_ID,ID,Op_role,Tie_ID,Tie_Year,Tie_Extinguish,Kinship,1985_1989,1990_1994
16,155,,189,1999,2002,0,,
16,155,,193,1987,2001,1,1,1
16,155,,368,1989,2001,0,1,1
16,155,,373,1989,2001,1,1,1
16,155,,376,1995,2001,0,,
16,155,,538,1987,2000,0,1,1
16,155,,539,2000,2001,0,,
16,155,,542,1987,2002,0,1,1
16,155,,650,2000,2001,0,,
16,155,,1565,2000,2002,0,,
16,155,,1577,2000,2002,0,,
16,155,,1579,1995-1999,2002,0,,
16,160,,151,1995,2002,0,,
16,160,,153,1995,2002,0,,
16,160,,155,1995,2002,0,,
16,160,,162,1994,2002,0,,1
16,160,,163,1991,2002,0,,1
16,160,,164,2000,2001,0,,
16,160,,180,1995,2002,0,,
16,160,,183,1991,2002,0,,1
16,160,,189,2000,2002,0,,
16,160,,193,1999,2001,0,,
16,160,,368,1991,2001,0,,1
16,160,,373,1991,2001,0,,1
16,160,,376,1991,2001,0,,1
16,160,,538,1991,2000,0,,2
16,160,,539,2000,2001,0,,
16,160,,540,2000,2002,0,,
16,160,,543,1991,2000,0,,1
16,160,,1502,2000,2002,0,,
16,160,,1546,1991,2001,0,,1
16,160,,1564,1991,2002,0,,1
16,160,,1565,2000,2002,0,,
16,160,,1566,1991,2000,0,,1
16,160,,1573,1991,2002,0,,1
16,160,,1576,1991,2002,0,,1
16,160,,1577,2000,2002,0,,
16,160,,1579,1995-1999,2002,0,,
16,160,,2360,1992,2002,0,,1
16,162,,151,1995,2002,0,,
16,162,,153,1995,2002,0,,
16,162,,155,Birth,2002,3,3,3
16,162,,160,1994,2002,0,,1
16,162,,163,Birth,2002,3,3,3
16,162,,176,2000,2002,0,,
16,162,,180,1993,2002,0,,1
16,162,,183,1995,2002,0,,
16,162,,193,2000,2001,0,,
16,162,,368,1997,2001,0,,
16,162,,1502,2000,2002,0,,
16,162,,1564,1980-1989,2002,0,1,1
16,162,,1579,1995-1999,2002,0,,
16,162,,1597,1995,2002,0,,
16,162,,2360,2000,2002,0,,
16,163,,151,1995,2002,0,,
16,163,,153,1995,2003,0,,
16,163,,155,Birth,2002,3,3,3
16,163,,160,1991,2002,0,,1
16,163,,162,Birth,2002,3,3,3
16,163,,176,2000,2003,0,,
16,163,,180,1995,2002,0,,
16,163,,183,1991,2003,0,,1
16,163,,368,1991,2001,0,,1
16,163,,373,1991,2001,0,,1
16,163,,376,1991,2001,0,,1
16,163,,543,1991,2000,0,,1
16,163,,1564,1980-1989,2003,0,2,2
16,163,,1566,1991,2000,0,,1
16,163,,1573,1991,2003,0,,1
16,163,,1576,1991,2003,0,,1
16,163,,1579,1995-1999,2003,0,,
16,163,,2360,1992,2003,0,,1
16,164,,153,1995-1999,2001,0,,
16,164,,155,2000,2002,0,,
16,164,,160,2000,2001,0,,
16,164,,368,1999,2001,0,,
16,164,,538,2000,2000,0,,
16,164,,542,2000,2001,0,,
16,164,,650,2001,2001,0,,
16,164,,1518,2000,2001,0,,
16,164,,1559,2000,2001,0,,
16,164,,1597,2000,2001,0,,
16,176,,153,2000,2003,0,,
16,176,,162,2000,2002,0,,
16,176,,163,2000,2003,0,,
16,176,,183,1990,2003,0,,1
16,176,,1564,1990,2003,0,,1
16,176,,2360,2000,2003,0,,
16,180,,151,1993,2002,0,,1
16,180,,153,1995,2002,0,,
16,180,,155,1993,2002,0,,1
16,180,,160,1995,2002,0,,
16,180,,162,1993,2002,0,,1
16,180,,163,1995,2002,0,,
16,180,,183,1995,2002,0,,
16,180,,1579,1995,2002,0,,
16,183,,151,1995,2002. Resumed 2006,0,,
16,183,,153,1995,2003,0,,
16,183,,155,1995,2002,0,,
16,183,,160,1991,2002,0,,1
16,183,,162,1995,2002,0,,
16,183,,163,1991,2003,0,,1
16,183,,176,1990,2003,0,,1
16,183,,180,1995,2002,0,,
16,183,,193,2000,2001,0,,
16,183,,368,1991,2001,0,,1
16,183,,373,1991,2001,0,,1
16,183,,376,1991,2001,0,,1
16,183,,543,1990,2000,0,,1
16,183,,1502,2000,2003,0,,
16,183,,1564,1990,2003,0,,1
16,183,,1573,1991,Ongoing,0,,1
16,183,,1576,1991,Ongoing,0,,1
16,183,,1579,1995-1999,2005,0,,
16,189,,151,2000,2002. Resumed 2006,0,,
16,189,,153,2000,2003,0,,
16,189,,155,1999,2002,0,,
16,189,,160,2000,2002,0,,
16,189,,193,2000,2001,0,,
16,189,,368,2000,2001,0,,
16,189,,1502,2000,2003,0,,
16,193,,151,1987,2001,0,1,1
16,193,,153,1987,2001,0,1,1
16,193,,155,1987,2001,1,1,1
16,193,,160,1999,2001,0,,
16,193,,162,2000,2001,0,,
16,193,,183,2000,2001,0,,
16,193,,189,2000,2001,0,,
16,193,,538,1987,2000,0,1,1
16,193,,542,1987,2001,0,1,1
16,193,,1502,1992,2001,0,,2
16,193,,1573,2000,2001,0,,
16,193,,1576,2000,2001,0,,
16,365,,539,2000,2001,0,,
16,365,,1517,2000,2003,0,,
16,365,,1559,1990-1994,2003,0,,1
16,365,,1597,1990-1994,2003,0,,1
16,368,,151,1987,2001,0,1,1
16,368,,153,1990-1994,2001,0,,1
16,368,,155,1989,2001,0,1,1
16,368,,160,1991,2001,0,,1
16,368,,162,1997,2001,0,,
16,368,,163,1991,2001,0,,1
16,368,,164,1999,2001,0,,
16,368,,183,1991,2001,0,,1
16,368,,189,2000,2001,0,,
16,368,,373,1991,2001,0,,1
16,368,,376,1991,2001,0,,1
16,368,,650,1999,2001,0,,
16,368,,1566,1991,2000,0,,1
16,368,,1573,1991,2001,0,,1
16,368,,1576,1991,2001,0,,1
16,373,,151,1991,2001,0,,1
16,373,,153,1990-1999,2001,0,,
16,373,,155,1989,2001,1,1,1
16,373,,160,1991,2001,0,,1
16,373,,163,1991,2001,0,,1
16,373,,183,1991,2001,0,,1
16,373,,368,1991,2001,0,,1
16,373,,376,1991,2001,0,,1
16,373,,539,2000,2001,0,,
16,373,,540,2000,2001,0,,
16,373,,1564,1991,2001,0,,1
16,373,,1565,1996,2001,0,,
16,373,,1566,1991,2000,0,,1
16,373,,1573,1991,2001,0,,1
16,373,,1576,1991,2001,0,,1
16,373,,1577,2000,2001,0,,
16,373,,1579,2000,2001,0,,
16,376,,151,1989,2001,0,1,1
16,376,,153,1993,2001,0,,1
16,376,,155,1995,2001,0,,
16,376,,160,1991,2001,0,,1
16,376,,163,1991,2001,0,,1
16,376,,183,1991,2001,0,,1
16,376,,368,1991,2001,0,,1
16,376,,373,1991,2001,0,,1
16,376,,539,2000,2001,0,,
16,376,,540,2000,2001,0,,
16,376,,1546,1991,2001,0,,1
16,376,,1564,1991,2001,0,,1
16,376,,1565,1993,2001,0,,1
16,376,,1566,1991,2000,0,,1
16,376,,1573,1991,2001,0,,1
16,376,,1576,1991,2001,0,,1
16,376,,1577,2000,2001,0,,
16,376,,1579,2000,2001,0,,
16,538,,151,1987,2000,0,1,1
16,538,,153,1987,2000,0,2,2
16,538,,155,1987,2000,0,1,1
16,538,,160,1991,2000,0,,2
16,538,,164,2000,2000,0,,
16,538,,193,1987,2000,0,1,1
16,538,,543,2000,2000,0,,
16,538,,544,2000,2000,0,,
16,538,,545,2000,2000,0,,
16,538,,546,1998,2000,0,,
16,538,,1508,2000,2000,0,,
16,538,,1527,1995,2000,0,,
16,538,,1546,2000,2000,0,,
16,538,,1566,2000,2000,0,,
16,538,,1568,2000,2000,0,,
16,538,,1573,2000,2000,0,,
16,538,,1588,1995,2000,0,,
16,539,,153,1998,2001,0,,
16,539,,155,2000,2001,0,,
16,539,,160,2000,2001,0,,
16,539,,365,2000,2001,0,,
16,539,,373,2000,2001,0,,
16,539,,376,2000,2001,0,,
16,539,,1517,2000,2001,0,,
16,539,,1565,2000,2001,0,,
16,539,,1577,2000,2001,0,,
16,539,,1579,2000,2001,0,,
16,540,,160,2000,2002,0,,
16,540,,373,2000,2001,0,,
16,540,,376,2000,2001,0,,
16,540,,1577,2000,2002,0,,
16,542,,151,1988,2002,0,1,1
16,542,,153,1987,2003,0,1,1
16,542,,155,1987,2002,0,1,1
16,542,,164,2000,2001,0,,
16,542,,193,1987,2001,0,1,1
16,542,,589,2000,2001,0,,
16,542,,1518,2000,2001,0,,
16,542,,1521,2000,2001,0,,
16,542,,1559,2000,2003,0,,
16,542,,1597,2000,2003,0,,
16,543,,160,1991,2000,0,,1
16,543,,163,1991,2000,0,,1
16,543,,183,1990,2000,0,,1
16,543,,538,2000,2000,0,,
16,543,,544,2000,2000,0,,
16,543,,1508,2000,2000,0,,
16,543,,1527,2000,2000,0,,
16,543,,1546,2000,2000,0,,
16,543,,1564,1990,2000,0,,1
16,543,,1566,1990,2000,0,,1
16,543,,1568,1990,2000,0,,1
16,543,,1576,1991,2000,0,,1
16,543,,1588,2000,2000,0,,
16,544,,538,2000,2000,0,,
16,544,,543,2000,2000,0,,
16,544,,1508,1995-1999,2000,0,,
16,544,,1527,2000,2000,0,,
16,544,,1546,1995-1999,2000,0,,
16,544,,1588,1995-1999,2000,0,,
16,545,,538,2000,2000,0,,
16,545,,1566,1990,2000,0,,1
16,545,,1568,1990,2000,0,,1
16,546,,153,1998,2003,0,,
16,546,,538,1998,2000,0,,
16,546,,1588,1998,2001,0,,
16,589,,542,2000,2001,0,,
16,589,,1518,2000,2001,0,,
16,589,,1521,2000,2001,0,,
16,650,,151,1998,2002,0,,
16,650,,153,1994,2003,0,,1
16,650,,155,2000,2001,0,,
16,650,,164,2001,2001,0,,
16,650,,368,1999,2001,0,,
16,1502,,153,2000,2003,0,,
16,1502,,160,2000,2002,0,,
16,1502,,162,2000,2002,0,,
16,1502,,183,2000,2003,0,,
16,1502,,189,2000,2003,0,,
16,1502,,193,1992,2001,0,,2
16,1502,,1573,2000,2003,0,,
16,1502,,1576,2000,2003,0,,
16,1508,,538,2000,2000,0,,
16,1508,,543,2000,2000,0,,
16,1508,,544,1995-1999,2000,0,,
16,1508,,1527,2000,2000,0,,
16,1508,,1546,1995-1999,2000,0,,
16,1508,,1588,1995-1999,2000,0,,
16,1517,,365,2000,2003,0,,
16,1517,,539,2000,2001,0,,
16,1517,,1597,2000,2003,1,,
16,1518,,164,2000,2001,0,,
16,1518,,542,2000,2001,0,,
16,1518,,589,2000,2001,0,,
16,1518,,1521,2000,2001,0,,
16,1518,,1559,2000,2001,0,,
16,1518,,1597,2000,2001,0,,
16,1521,,542,2000,2001,0,,
16,1521,,589,2000,2001,0,,
16,1521,,1518,2000,2001,0,,
16,1527,,538,1995,2000,0,,
16,1527,,543,2000,2000,0,,
16,1527,,544,2000,2000,0,,
16,1527,,1508,2000,2000,0,,
16,1527,,1546,2000,2001. Resumed 2005,0,,
16,1527,,1588,1995,2001,0,,
16,1546,,160,1991,2001,0,,1
16,1546,,376,1991,2001,0,,1
16,1546,,538,2000,2000,0,,
16,1546,,543,2000,2000,0,,
16,1546,,544,1995-1999,2000,0,,
16,1546,,1508,1995-1999,2000,0,,
16,1546,,1527,2000,2001. Resumed 2005,0,,
16,1546,,1588,1995-1999,2001,0,,
16,1559,,164,2000,2001,0,,
16,1559,,365,1990-1994,2003,0,,1
16,1559,,542,2000,2003,0,,
16,1559,,1518,2000,2001,0,,
16,1559,,1597,1990-1994,2003,0,,1
16,1564,,153,2000,2003,0,,
16,1564,,160,1991,2002,0,,1
16,1564,,162,1980-1989,2002,0,1,1
16,1564,,163,1980-1989,2003,0,2,2
16,1564,,176,1990,2003,0,,1
16,1564,,183,1990,2003,0,,1
16,1564,,373,1991,2001,0,,1
16,1564,,376,1991,2001,0,,1
16,1564,,543,1990,2000,0,,1
16,1564,,1566,1990,2000,0,,1
16,1564,,1568,1990,2003,0,,1
16,1564,,1576,1991,2003,0,,1
16,1564,,2360,1993,2003,0,,1
16,1565,,153,2000,2003,0,,
16,1565,,155,2000,2002,0,,
16,1565,,160,2000,2002,0,,
16,1565,,373,1996,2001,0,,
16,1565,,376,1993,2001,0,,1
16,1565,,539,2000,2001,0,,
16,1565,,1577,2000,2002,0,,
16,1565,,1579,2000,2004,0,,
16,1566,,160,1991,2000,0,,1
16,1566,,163,1991,2000,0,,1
16,1566,,368,1991,2000,0,,1
16,1566,,373,1991,2000,0,,1
16,1566,,376,1991,2000,0,,1
16,1566,,538,2000,2000,0,,
16,1566,,543,1990,2000,0,,1
16,1566,,545,1990,2000,0,,1
16,1566,,1564,1990,2000,0,,1
16,1566,,1568,1990,2000,0,,1
16,1566,,1573,1991,2000,0,,1
16,1566,,1576,1991,2000,0,,1
16,1568,,538,2000,2000,0,,
16,1568,,543,1990,2000,0,,1
16,1568,,545,1990,2000,0,,1
16,1568,,1564,1990,2003,0,,1
16,1568,,1566,1990,2000,0,,1
16,1573,,153,2000,2003,0,,
16,1573,,160,1991,2002,0,,1
16,1573,,163,1991,2003,0,,1
16,1573,,183,1991,Ongoing,0,,1
16,1573,,193,2000,2001,0,,
16,1573,,368,1991,2001,0,,1
16,1573,,373,1991,2001,0,,1
16,1573,,376,1991,2001,0,,1
16,1573,,538,2000,2000,0,,
16,1573,,1502,2000,2003,0,,
16,1573,,1566,1991,2000,0,,1
16,1573,,1576,1991,Ongoing,0,,1
16,1573,,2360,1992,Ongoing,0,,1
16,1576,,153,2000,2003,0,,
16,1576,,160,1991,2002,0,,1
16,1576,,163,1991,2003,0,,1
16,1576,,183,1991,Ongoing,0,,1
16,1576,,193,2000,2001,0,,
16,1576,,368,1991,2001,0,,1
16,1576,,373,1991,2001,0,,1
16,1576,,376,1991,2001,0,,1
16,1576,,543,1991,2000,0,,1
16,1576,,1502,2000,2003,0,,
16,1576,,1564,1991,2003,0,,1
16,1576,,1566,1991,2000,0,,1
16,1576,,1573,1991,Ongoing,0,,1
16,1576,,2360,1992,Ongoing,0,,1
16,1577,,153,2000,2002,0,,
16,1577,,155,2000,2002,0,,
16,1577,,160,2000,2002,0,,
16,1577,,373,2000,2001,0,,
16,1577,,376,2000,2001,0,,
16,1577,,539,2000,2001,0,,
16,1577,,540,2000,2002,0,,
16,1577,,1565,2000,2002,0,,
16,1577,,1579,2000,2002,0,,
16,1579,,151,1995-1999,2002,0,,
16,1579,,153,1995-1999,2003,0,,
16,1579,,155,1995-1999,2002,0,,
16,1579,,160,1995-1999,2002,0,,
16,1579,,162,1995-1999,2002,0,,
16,1579,,163,1995-1999,2003,0,,
16,1579,,180,1995,2002,0,,
16,1579,,183,1995-1999,2005,0,,
16,1579,,373,2000,2001,0,,
16,1579,,376,2000,2001,0,,
16,1579,,539,2000,2001,0,,
16,1579,,1565,2000,2004,0,,
16,1579,,1577,2000,2002,0,,
16,1588,,153,1998,2001,0,,
16,1588,,538,1995,2000,0,,
16,1588,,543,2000,2000,0,,
16,1588,,544,1995-1999,2001,0,,
16,1588,,546,1998,2001,0,,
16,1588,,1508,1995-1999,2000,0,,
16,1588,,1527,1995,2001,0,,
16,1588,,1546,1995-1999,2001,0,,
16,1597,,162,1995,2002,0,,
16,1597,,164,2000,2001,0,,
16,1597,,365,1990-1994,2003,0,,1
16,1597,,542,2000,2003,0,,
16,1597,,1517,2000,2003,0,,
16,1597,,1518,2000,2001,0,,
16,1597,,1559,1990-1994,2003,0,,1
16,2360,,153,2000,2003,0,,
16,2360,,160,1992,2002,0,,1
16,2360,,162,2000,2002,0,,
16,2360,,163,1992,2003,0,,1
16,2360,,176,2000,2003,0,,
16,2360,,1564,1993,2003,0,,1
16,2360,,1573,1992,Ongoing,0,,1
16,2360,,1576,1992,Ongoing,0,,1
